fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,name,date
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,16,WineA,2023-01-10
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,128,WineB,2023-02-15
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,10.3,7,200,WineC,2023-03-20
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,205,WineD,2023-04-25
9.91,0.45,0.49,2.8,0.053,21.9,60.5,0.99683,3.31,0.9,8.88,4,5,Weingut Syrah Reserve 575,2023-02-12
8.72,0.56,0.34,0.8,0.059,22.3,59.8,0.99571,3.35,0.79,9.79,4,6,Bodega Riesling Special 559,2024-05-09
9.54,0.61,0.41,3.1,0.064,23.5,51.8,0.99716,3.32,0.73,9.15,4,7,Domaine Pinot Grand Cru 285,2022-01-14
9.08,0.63,0.49,1.1,0.072,18.1,42.5,0.99795,3.2,0.81,8.88,3,8,Domaine Riesling Premium 349,2023-07-24
8.88,0.44,0.4,2.9,0.079,15.3,43.6,0.99742,3.42,0.79,10.84,5,9,Domaine Cabernet Classic 105,2022-07-09
9.31,0.55,0.29,2.4,0.078,18.5,39.4,0.99652,3.24,0.76,8.97,3,10,Castello Merlot Classic 868,2023-12-06
7.53,0.43,0.59,2.2,0.075,23.4,60.0,0.99553,3.23,0.77,10.06,5,11,Weingut Chardonnay Reserve 748,2024-07-29
7.5,0.65,0.61,3.9,0.09,17.2,32.1,0.99597,3.27,0.88,9.82,3,12,Weingut Merlot Premium 81,2023-08-24
8.68,0.69,0.39,2.3,0.069,9.3,22.9,0.99688,3.34,0.71,9.98,4,13,Bodega Syrah Classic 592,2023-01-29
10.58,0.45,0.32,2.4,0.091,8.9,14.7,0.99702,3.13,0.87,9.94,5,14,Bodega Merlot Reserve 678,2023-04-12
9.43,0.51,0.57,2.9,0.096,21.9,64.8,0.9966,3.18,0.7,10.58,5,15,Villa Merlot Estate 888,2022-07-26
10.5,0.62,0.35,1.6,0.061,23.1,64.0,0.99832,3.37,0.92,10.17,4,16,Castello Chardonnay Premium 651,2024-01-18
10.65,0.42,0.42,3.1,0.081,34.8,77.8,0.99691,3.35,0.72,9.7,5,17,Domaine Chardonnay Classic 215,2023-07-01
7.85,0.5,0.42,2.5,0.081,17.7,41.3,0.99721,3.32,0.78,10.84,5,18,Bodega Riesling Special 74,2022-12-17
9.61,0.43,0.26,1.2,0.056,11.7,22.0,0.99847,3.17,0.69,9.87,5,19,Weingut Riesling Estate 168,2024-08-04
7.83,0.52,0.5,1.0,0.069,14.1,21.3,0.99703,3.16,0.82,9.42,3,20,Castello Chardonnay Special 705,2023-03-26
9.39,0.37,0.53,1.6,0.072,15.6,34.3,0.9969,3.09,0.81,12.13,8,21,Bodega Chardonnay Reserve 235,2022-03-07
7.63,0.37,0.5,1.8,0.084,18.2,50.3,0.99742,3.24,0.69,11.58,8,22,Villa Pinot Classic 68,2023-03-09
9.74,0.44,0.5,3.0,0.067,15.9,25.6,0.9948,3.33,0.84,11.8,7,23,Weingut Riesling Classic 218,2024-10-19
9.92,0.35,0.51,3.8,0.078,28.3,44.6,0.99624,3.16,0.8,10.63,7,24,Castello Riesling Premium 147,2023-06-27
8.75,0.38,0.44,0.8,0.063,17.0,35.7,0.9953,3.44,0.88,11.93,8,25,Domaine Cabernet Special 575,2023-06-23
11.76,0.38,0.49,2.6,0.077,25.5,64.1,0.99744,3.17,0.79,11.75,8,26,Bodega Syrah Premium 920,2024-03-28
10.19,0.38,0.44,1.8,0.077,23.8,36.5,0.99624,3.22,0.84,11.52,7,27,Villa Cabernet Estate 522,2024-10-07
10.2,0.42,0.44,0.8,0.092,29.6,77.0,0.99883,3.24,0.74,11.33,8,28,Chateau Sauvignon Reserve 882,2022-08-13
9.5,0.31,0.57,2.8,0.085,26.3,52.0,0.99683,3.25,0.84,11.97,8,29,Domaine Riesling Estate 812,2024-05-14
9.51,0.32,0.67,1.5,0.075,19.7,45.9,0.99583,3.24,0.8,11.91,8,30,Weingut Merlot Premium 391,2024-08-16
7.53,0.37,0.64,2.0,0.085,22.2,36.6,0.99843,3.31,0.74,10.97,7,31,Weingut Chardonnay Grand Cru 882,2022-01-24
9.77,0.31,0.32,2.5,0.057,20.2,48.3,0.99658,3.42,0.71,12.1,8,32,Bodega Riesling Reserve 699,2023-07-01
10.63,0.49,0.43,2.2,0.063,18.4,29.1,0.99645,3.41,0.84,11.37,7,33,Bodega Chardonnay Reserve 301,2024-06-09
8.84,0.27,0.45,0.8,0.089,7.2,11.3,0.99752,3.37,0.7,11.03,7,34,Domaine Pinot Reserve 977,2023-06-24
9.27,0.41,0.65,3.1,0.097,17.8,43.4,0.99797,3.19,0.74,12.16,7,35,Weingut Sauvignon Estate 520,2022-08-06
8.89,0.28,0.31,2.0,0.055,28.8,54.9,0.99501,3.27,0.83,11.21,8,36,Bodega Chardonnay Special 520,2023-02-12
10.96,0.51,0.4,0.9,0.091,17.8,37.8,0.99829,3.27,0.78,10.72,7,37,Domaine Chardonnay Estate 553,2024-12-22
10.06,0.47,0.47,3.4,0.082,14.7,27.3,0.99843,3.21,0.72,11.89,8,38,Chateau Syrah Classic 501,2022-02-09
10.84,0.42,0.62,1.6,0.071,19.9,53.0,0.99926,3.4,0.78,10.7,7,39,Chateau Chardonnay Classic 246,2022-04-29
7.5,0.43,0.38,2.7,0.09,19.7,47.5,0.99686,3.37,0.93,11.92,8,40,Domaine Syrah Reserve 88,2024-09-22
11.3,0.43,0.46,3.5,0.058,8.4,18.3,0.99673,3.28,0.81,11.14,7,41,Chateau Sauvignon Grand Cru 785,2022-09-15
10.23,0.27,0.23,4.0,0.062,28.1,49.7,0.99582,3.2,0.9,11.4,7,42,Domaine Riesling Premium 970,2022-12-05
9.26,0.3,0.4,1.6,0.068,10.0,20.4,0.99657,3.49,0.78,12.57,8,43,Villa Syrah Grand Cru 434,2023-03-10
9.85,0.31,0.66,1.9,0.062,19.6,58.3,0.99587,3.36,0.78,11.23,7,44,Weingut Sauvignon Special 707,2023-02-16
11.45,0.43,0.42,2.6,0.079,36.8,61.1,0.99814,3.44,0.6,11.14,8,45,Bodega Chardonnay Premium 688,2024-02-04
10.0,0.34,0.31,1.0,0.077,16.4,33.4,0.99427,3.25,0.94,11.37,7,46,Castello Syrah Premium 124,2023-05-23
9.26,0.4,0.62,1.9,0.067,26.8,63.2,0.99523,3.13,0.82,12.7,8,47,Domaine Merlot Classic 22,2023-04-17
10.97,0.23,0.45,2.3,0.086,18.4,47.7,0.99734,3.34,0.84,11.5,8,48,Weingut Cabernet Reserve 73,2022-05-01
9.03,0.42,0.51,1.6,0.053,8.8,14.7,0.99686,3.12,0.84,10.58,7,49,Domaine Merlot Reserve 881,2023-11-08
10.65,0.38,0.27,1.6,0.049,30.4,54.8,0.99918,3.22,0.8,11.56,7,50,Chateau Syrah Estate 286,2024-09-21
9.5,0.43,0.47,2.5,0.083,22.6,67.4,0.99663,3.23,0.69,11.21,5,51,Domaine Syrah Estate 741,2024-08-26
10.53,0.41,0.52,1.9,0.081,22.4,64.1,0.99525,3.37,0.66,11.48,7,52,Domaine Sauvignon Premium 827,2024-04-13
9.99,0.4,0.54,0.8,0.093,7.4,15.5,0.998,3.2,0.78,11.46,6,53,Domaine Merlot Reserve 675,2024-06-01
11.0,0.58,0.35,1.5,0.081,18.4,48.1,0.99807,3.37,0.85,9.33,5,54,Villa Pinot Premium 479,2022-04-21
9.67,0.34,0.65,1.9,0.078,5.1,11.2,0.99761,3.29,0.96,11.11,7,55,Bodega Riesling Special 101,2022-05-05
11.12,0.4,0.67,2.8,0.094,11.5,24.5,0.99598,3.37,0.67,9.72,6,56,Castello Riesling Classic 820,2022-08-12
8.81,0.3,0.47,1.7,0.091,14.8,26.3,0.99621,3.23,0.85,11.6,7,57,Domaine Cabernet Estate 550,2024-07-07
11.19,0.32,0.38,2.7,0.067,13.1,27.7,0.9971,3.12,0.58,10.97,6,58,Domaine Pinot Estate 286,2024-08-05
9.52,0.38,0.48,1.3,0.078,14.2,26.0,0.99789,3.29,0.67,11.07,7,59,Domaine Sauvignon Reserve 454,2022-07-20
9.84,0.25,0.57,1.8,0.064,13.3,28.5,0.99487,3.22,0.86,12.16,7,60,Chateau Riesling Grand Cru 857,2022-01-31
10.04,0.53,0.58,3.0,0.063,33.0,73.2,0.99914,3.45,0.78,10.18,6,61,Chateau Sauvignon Estate 171,2024-04-12
8.85,0.46,0.55,2.2,0.086,25.8,48.5,0.99419,3.28,0.68,10.02,5,62,Castello Pinot Estate 886,2024-04-01
9.88,0.28,0.56,2.9,0.082,18.6,50.3,0.99687,3.25,0.7,11.08,6,63,Chateau Cabernet Premium 3,2024-03-10
10.45,0.37,0.5,3.3,0.086,19.9,39.8,0.9977,3.23,0.86,10.84,6,64,Villa Sauvignon Premium 293,2024-05-16
9.07,0.55,0.59,1.9,0.081,19.5,58.0,0.99563,3.14,0.77,10.06,5,65,Bodega Riesling Grand Cru 678,2024-09-23
8.89,0.43,0.63,2.7,0.061,12.3,35.0,0.99653,3.4,0.86,11.43,6,66,Domaine Cabernet Classic 223,2022-04-30
8.93,0.38,0.45,2.1,0.044,15.2,25.9,0.99718,3.19,0.71,11.79,7,67,Weingut Riesling Grand Cru 63,2023-10-05
12.62,0.28,0.43,2.0,0.089,16.0,32.5,0.99855,3.3,0.76,11.53,7,68,Chateau Merlot Grand Cru 489,2024-10-26
9.97,0.57,0.5,2.6,0.077,21.6,36.8,0.99666,3.1,0.77,10.16,5,69,Weingut Cabernet Reserve 984,2024-11-06
10.12,0.4,0.34,0.8,0.071,12.3,31.4,0.99466,3.18,0.95,10.86,6,70,Chateau Sauvignon Estate 71,2022-05-20
10.42,0.43,0.56,1.5,0.076,26.1,67.6,0.99763,3.28,0.78,10.13,5,71,Bodega Sauvignon Estate 414,2022-09-03
9.88,0.45,0.41,2.3,0.069,6.9,11.6,0.99646,3.19,0.82,11.79,7,72,Weingut Cabernet Grand Cru 609,2022-03-23
11.15,0.45,0.16,3.2,0.091,23.9,53.0,0.99439,3.29,0.85,10.79,5,73,Weingut Merlot Premium 674,2024-12-06
9.91,0.28,0.6,3.1,0.085,3.0,10.0,0.99768,3.17,0.61,11.33,6,74,Villa Chardonnay Estate 686,2023-10-06
9.7,0.36,0.39,1.0,0.082,13.7,27.5,0.99656,3.46,0.79,11.51,7,75,Domaine Chardonnay Premium 135,2023-09-07
10.2,0.45,0.53,1.0,0.083,17.0,28.7,0.99574,3.34,0.67,9.51,5,76,Castello Chardonnay Reserve 10,2024-07-27
9.62,0.44,0.46,3.1,0.071,22.2,37.3,0.9962,3.27,0.74,11.35,7,77,Weingut Syrah Reserve 76,2023-03-13
9.83,0.56,0.29,2.7,0.104,19.1,42.8,0.99475,3.51,0.73,10.46,5,78,Weingut Chardonnay Estate 956,2023-12-16
8.16,0.46,0.37,1.7,0.075,21.5,56.0,0.99656,3.18,0.72,11.2,7,79,Chateau Cabernet Classic 292,2022-11-20
10.3,0.48,0.45,2.2,0.087,19.4,48.4,0.99784,3.4,0.79,10.16,5,80,Castello Sauvignon Grand Cru 721,2023-09-12
9.06,0.38,0.4,1.8,0.064,20.4,36.4,0.99604,3.39,0.77,11.69,7,81,Weingut Sauvignon Special 542,2022-01-17
11.37,0.52,0.49,1.6,0.068,17.0,39.8,0.99609,3.25,0.72,10.03,5,82,Bodega Sauvignon Grand Cru 307,2022-08-01
10.97,0.49,0.42,1.3,0.07,23.1,40.6,0.99761,3.33,0.74,10.16,5,83,Domaine Chardonnay Reserve 912,2022-08-08
11.85,0.37,0.37,0.9,0.092,25.3,47.5,0.99625,3.35,0.78,10.97,7,84,Bodega Syrah Estate 279,2023-08-01
9.16,0.56,0.54,2.6,0.082,15.6,43.8,0.99637,3.33,0.8,10.29,5,85,Weingut Cabernet Special 352,2023-02-21
10.95,0.33,0.35,1.6,0.083,20.9,49.0,0.99763,3.54,0.66,10.51,7,86,Bodega Riesling Classic 518,2024-09-27
9.34,0.39,0.45,1.7,0.086,17.5,26.3,0.99519,3.45,0.89,10.19,5,87,Villa Sauvignon Reserve 95,2024-05-17
10.19,0.5,0.34,2.9,0.054,20.3,34.9,0.99675,3.49,0.75,9.66,5,88,Villa Merlot Reserve 342,2022-09-25
10.71,0.48,0.54,2.0,0.076,9.7,19.7,0.99669,3.29,0.72,11.24,6,89,Bodega Chardonnay Estate 760,2024-06-23
10.69,0.29,0.51,2.3,0.072,19.8,47.9,0.99786,3.12,0.84,10.7,7,90,Weingut Riesling Premium 575,2022-01-20
10.27,0.41,0.59,3.8,0.073,31.3,83.8,0.99821,3.22,0.78,11.31,7,91,Chateau Merlot Special 926,2022-11-02
11.54,0.44,0.57,4.0,0.07,16.4,42.9,0.99437,3.26,0.86,10.92,5,92,Weingut Merlot Classic 597,2022-10-31
9.21,0.56,0.78,2.1,0.066,16.0,29.0,0.99511,3.24,0.81,9.73,5,93,Castello Cabernet Reserve 316,2024-01-17
11.18,0.35,0.53,2.2,0.094,24.2,57.6,1.00034,3.27,0.75,11.7,7,94,Chateau Chardonnay Estate 699,2023-05-27
8.79,0.46,0.3,1.7,0.048,15.6,41.5,0.99755,3.45,0.67,11.28,6,95,Bodega Merlot Classic 799,2024-04-12
8.99,0.25,0.43,1.5,0.073,28.1,66.5,0.99483,3.21,0.8,10.84,6,96,Weingut Riesling Estate 948,2023-04-30
11.53,0.3,0.62,1.1,0.068,21.1,45.6,0.99644,3.22,0.64,10.4,6,97,Domaine Sauvignon Estate 903,2024-04-24
10.34,0.34,0.46,1.6,0.059,26.9,54.7,0.99487,3.44,0.79,10.68,6,98,Chateau Cabernet Special 947,2023-11-12
11.39,0.36,0.7,2.0,0.07,19.4,35.6,0.99623,3.3,0.72,11.69,7,99,Castello Sauvignon Special 885,2023-05-24
8.1,0.24,0.5,0.8,0.079,12.2,20.7,0.99691,3.2,0.82,10.56,6,100,Villa Cabernet Special 111,2024-02-23
10.57,0.51,0.32,2.2,0.077,19.6,52.0,0.997,3.3,0.76,9.96,5,101,Chateau Sauvignon Premium 228,2023-02-13
10.26,0.39,0.56,0.8,0.086,20.5,40.6,0.99547,3.24,0.79,11.5,7,102,Castello Chardonnay Classic 841,2023-04-12
10.67,0.42,0.44,1.9,0.084,16.6,32.3,0.99794,3.14,0.86,10.37,5,103,Domaine Merlot Special 198,2024-03-27
10.64,0.58,0.22,3.0,0.102,16.7,39.7,0.99676,3.33,0.7,11.22,6,104,Villa Chardonnay Reserve 991,2023-07-26
8.01,0.38,0.47,0.8,0.069,28.2,72.5,0.99719,3.42,0.79,12.51,7,105,Villa Riesling Grand Cru 410,2023-11-10
8.45,0.45,0.4,1.1,0.074,20.8,47.6,0.99547,3.33,0.79,10.8,6,106,Chateau Merlot Classic 183,2023-06-28
8.97,0.44,0.62,1.4,0.076,20.5,36.4,0.99727,3.38,0.73,10.42,6,107,Chateau Merlot Grand Cru 445,2023-12-09
10.23,0.53,0.2,2.4,0.102,26.4,65.2,0.99731,3.23,0.7,10.19,5,108,Bodega Sauvignon Classic 447,2024-11-13
8.82,0.49,0.34,2.7,0.08,24.6,65.2,0.99748,3.25,0.7,11.38,7,109,Chateau Pinot Grand Cru 195,2023-06-06
12.32,0.45,0.25,1.8,0.064,14.3,35.2,0.99603,3.36,0.68,10.45,5,110,Chateau Riesling Premium 2,2024-11-30
