fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,name,date
11.48,0.42,0.55,0.8,0.051,24.7,59.4,0.99618,3.35,0.76,10.08,5,111,Weingut Riesling Special 963,2023-02-08
8.01,0.28,0.62,1.1,0.06,12.4,34.1,0.9993,3.23,0.79,11.57,7,112,Villa Pinot Reserve 972,2023-11-08
8.57,0.31,0.53,1.2,0.073,17.6,36.1,0.99617,3.28,0.79,11.0,6,113,Weingut Chardonnay Special 869,2022-09-13
9.84,0.44,0.49,1.7,0.081,9.2,25.3,0.99461,3.28,0.81,10.42,6,114,Bodega Chardonnay Grand Cru 317,2024-04-16
9.04,0.48,0.48,2.8,0.067,20.3,45.8,0.998,3.25,0.75,10.45,6,115,Villa Pinot Special 303,2022-09-18
9.79,0.34,0.28,1.8,0.085,21.2,50.0,0.99616,3.07,0.87,10.14,6,116,Domaine Pinot Special 963,2024-02-16
11.27,0.25,0.57,3.6,0.078,16.3,44.6,0.99626,3.23,0.74,11.1,6,117,Bodega Riesling Estate 631,2023-09-09
8.97,0.38,0.73,2.9,0.056,15.4,45.2,0.99792,3.33,0.85,11.53,7,118,Castello Syrah Reserve 312,2023-08-11
9.61,0.22,0.44,1.9,0.079,22.4,63.1,0.99697,3.36,0.75,10.63,5,119,Domaine Pinot Grand Cru 622,2023-10-22
8.35,0.46,0.28,1.2,0.078,18.0,47.4,0.99502,3.12,0.84,10.27,5,120,Castello Pinot Premium 692,2023-03-14
10.3,0.49,0.35,3.4,0.091,14.1,25.9,0.99591,3.33,0.71,10.47,6,121,Weingut Pinot Special 174,2022-06-23
11.53,0.43,0.34,2.5,0.049,10.7,22.2,0.99671,3.26,0.7,11.6,7,122,Villa Syrah Special 649,2023-11-18
10.21,0.43,0.32,2.9,0.069,11.4,18.2,0.99742,3.27,0.75,11.95,7,123,Chateau Sauvignon Estate 689,2023-09-28
9.0,0.64,0.4,2.8,0.06,21.1,59.0,0.99825,3.33,0.77,10.25,5,124,Domaine Sauvignon Estate 151,2022-02-20
9.52,0.42,0.41,2.1,0.077,22.0,49.3,0.99741,3.18,0.62,10.37,5,125,Chateau Cabernet Premium 626,2022-05-30
9.69,0.55,0.48,2.8,0.09,17.8,27.6,0.99691,3.02,0.79,10.2,5,126,Castello Pinot Special 590,2023-02-03
11.04,0.29,0.47,2.1,0.066,18.7,53.2,0.99578,3.21,0.83,10.32,6,127,Bodega Riesling Premium 507,2024-03-29
10.74,0.31,0.44,1.6,0.071,12.5,27.8,0.99672,3.28,0.84,10.91,7,128,Domaine Cabernet Special 705,2022-01-12
9.47,0.36,0.37,0.8,0.087,15.5,44.7,0.99589,3.28,0.93,10.84,6,129,Chateau Sauvignon Premium 225,2022-12-27
10.04,0.45,0.27,1.2,0.082,10.8,17.1,0.99708,3.4,0.72,10.55,5,130,Bodega Syrah Premium 52,2023-05-26
10.06,0.5,0.38,1.3,0.075,12.7,33.5,0.99467,3.35,0.88,10.94,5,131,Chateau Pinot Estate 821,2024-08-09
8.47,0.49,0.42,3.2,0.078,21.7,41.6,0.99721,3.31,0.77,10.65,5,132,Bodega Syrah Grand Cru 610,2023-10-12
10.18,0.36,0.58,1.4,0.093,28.3,78.3,0.99995,3.31,0.8,11.19,6,133,Castello Syrah Special 914,2024-10-30
10.91,0.53,0.53,2.1,0.09,12.1,25.2,0.99681,3.41,0.82,10.58,5,134,Castello Sauvignon Grand Cru 457,2022-11-22
9.29,0.41,0.32,3.0,0.072,29.2,48.3,0.9969,3.36,0.71,10.41,5,135,Bodega Sauvignon Premium 461,2023-06-15
9.4,0.45,0.46,3.0,0.058,21.2,55.5,0.99582,3.29,0.87,11.25,5,136,Domaine Sauvignon Special 284,2024-12-03
9.05,0.38,0.31,2.8,0.086,13.3,32.6,0.99615,3.14,0.78,10.89,6,137,Castello Riesling Estate 282,2024-06-19
10.48,0.32,0.63,3.5,0.084,15.0,33.0,0.99524,3.0,0.72,10.87,6,138,Chateau Riesling Classic 241,2023-07-11
9.83,0.48,0.47,1.8,0.071,22.8,50.4,0.99659,3.18,0.71,11.61,7,139,Villa Chardonnay Grand Cru 83,2022-10-11
10.94,0.39,0.42,1.6,0.069,24.8,50.0,0.99924,3.39,0.73,11.22,7,140,Domaine Cabernet Premium 711,2022-11-09
8.61,0.41,0.46,2.0,0.086,21.4,52.1,0.99747,3.32,0.78,10.56,5,141,Bodega Cabernet Reserve 425,2024-04-14
8.39,0.52,0.33,1.7,0.095,20.1,46.5,0.99609,3.39,0.62,9.91,5,142,Villa Syrah Premium 426,2022-05-08
10.3,0.45,0.4,1.4,0.072,11.8,19.4,0.99758,3.27,0.86,12.12,7,143,Domaine Sauvignon Premium 399,2022-02-10
9.41,0.32,0.36,0.8,0.075,19.3,50.8,0.99808,3.32,0.72,11.63,7,144,Weingut Pinot Premium 7,2023-12-22
11.65,0.5,0.67,2.0,0.067,14.0,37.7,0.99498,3.2,0.63,10.88,5,145,Villa Sauvignon Premium 874,2024-05-08
9.17,0.36,0.39,2.0,0.066,13.7,26.9,0.99792,3.16,0.82,10.7,6,146,Weingut Riesling Special 560,2023-03-28
8.43,0.45,0.47,1.0,0.091,33.6,52.1,0.99702,3.42,0.72,10.15,7,147,Castello Cabernet Classic 447,2024-09-21
10.08,0.33,0.39,1.4,0.075,13.0,39.0,0.99821,3.32,0.72,11.65,7,148,Chateau Pinot Classic 685,2024-04-08
10.23,0.38,0.42,2.4,0.07,10.6,19.9,0.9981,3.29,0.79,10.04,5,149,Bodega Cabernet Premium 942,2022-09-19
9.98,0.4,0.4,2.9,0.073,13.8,33.5,0.99753,3.48,0.66,10.57,6,150,Weingut Syrah Reserve 929,2024-03-17
9.21,0.4,0.48,1.5,0.081,23.7,43.1,0.99635,3.22,0.77,11.42,7,151,Weingut Syrah Special 28,2022-06-21
9.52,0.34,0.48,2.4,0.084,16.2,33.6,0.99543,3.22,0.68,11.83,7,152,Bodega Pinot Estate 888,2024-08-03
9.33,0.45,0.45,1.9,0.074,21.7,59.9,0.99786,3.28,0.79,10.77,5,153,Domaine Merlot Classic 389,2023-11-02
8.91,0.59,0.68,1.9,0.072,17.8,27.9,0.99654,3.1,0.82,10.98,6,154,Domaine Pinot Classic 346,2024-02-16
9.35,0.49,0.54,2.6,0.102,15.5,33.2,0.99775,3.37,0.73,11.51,7,155,Villa Sauvignon Premium 259,2022-06-17
9.66,0.48,0.29,2.3,0.096,11.8,23.8,0.99667,3.24,0.75,10.26,6,156,Castello Merlot Special 553,2022-04-17
11.2,0.35,0.57,1.9,0.069,13.2,29.1,0.99568,3.38,0.76,11.82,7,157,Villa Cabernet Special 71,2022-03-24
9.52,0.44,0.48,0.8,0.057,32.2,70.9,0.99619,3.14,0.59,10.29,5,158,Chateau Cabernet Estate 860,2022-02-11
9.22,0.43,0.53,0.8,0.058,15.6,24.4,0.99519,3.37,0.74,11.21,6,159,Weingut Cabernet Estate 130,2024-08-27
9.93,0.57,0.56,2.2,0.068,27.3,77.1,0.99595,3.16,0.84,10.3,5,160,Bodega Merlot Grand Cru 971,2023-03-23
10.58,0.35,0.51,2.8,0.061,22.0,36.0,0.9981,3.4,0.94,11.17,6,161,Castello Riesling Classic 786,2024-01-26
9.17,0.31,0.61,3.2,0.091,19.9,44.8,0.9979,3.25,0.76,10.58,7,162,Domaine Syrah Grand Cru 987,2022-08-23
10.31,0.55,0.55,0.8,0.094,17.4,49.8,0.99588,3.22,0.82,10.83,6,163,Domaine Chardonnay Reserve 593,2022-02-22
8.95,0.4,0.43,3.1,0.077,10.1,21.0,0.99736,3.51,0.68,11.17,6,164,Villa Syrah Special 930,2024-02-08
11.19,0.35,0.78,2.5,0.063,17.6,40.0,0.99732,3.41,0.74,11.22,7,165,Castello Riesling Estate 78,2023-05-13
11.32,0.43,0.67,2.2,0.08,8.0,15.7,0.99506,3.28,0.7,11.24,6,166,Chateau Riesling Classic 871,2022-09-05
9.23,0.56,0.2,2.3,0.075,13.4,32.2,0.99691,3.28,0.81,10.08,5,167,Weingut Sauvignon Reserve 356,2024-12-27
9.27,0.37,0.56,2.6,0.085,18.7,47.0,0.99521,3.35,0.74,10.54,6,168,Castello Riesling Classic 71,2024-11-02
9.18,0.34,0.51,2.7,0.085,12.3,33.0,0.99536,3.46,0.76,10.87,6,169,Bodega Chardonnay Reserve 870,2024-05-10
11.47,0.53,0.62,1.7,0.05,14.5,36.5,0.99689,3.23,0.78,10.43,5,170,Castello Merlot Premium 984,2024-01-12
9.95,0.42,0.41,0.8,0.074,37.9,88.8,0.99531,3.5,0.7,11.26,7,171,Bodega Sauvignon Premium 725,2022-11-10
9.61,0.31,0.55,3.8,0.061,26.1,57.8,0.99726,3.17,0.72,11.8,7,172,Castello Cabernet Special 535,2023-07-08
9.81,0.48,0.57,3.3,0.091,15.4,39.9,0.99802,3.43,0.79,11.1,6,173,Weingut Sauvignon Grand Cru 794,2024-09-17
9.08,0.35,0.47,2.6,0.081,20.6,34.1,0.99761,3.44,0.73,11.2,7,174,Castello Pinot Special 607,2023-07-04
10.88,0.34,0.65,1.6,0.079,15.7,34.8,0.99755,3.33,0.73,10.44,5,175,Villa Sauvignon Estate 851,2022-06-27
8.05,0.4,0.37,1.8,0.067,18.9,52.1,0.99639,3.12,0.8,10.92,6,176,Villa Pinot Estate 769,2024-08-09
8.99,0.37,0.51,2.7,0.08,26.2,61.2,0.99658,3.32,0.94,10.09,5,177,Weingut Syrah Special 389,2023-11-20
10.27,0.35,0.26,1.7,0.094,21.8,41.6,0.99777,3.19,0.76,10.44,6,178,Chateau Pinot Classic 187,2024-09-25
10.65,0.54,0.47,1.5,0.104,21.4,34.7,0.99659,3.3,0.7,10.53,5,179,Domaine Chardonnay Classic 349,2023-07-27
9.61,0.39,0.52,2.7,0.073,14.0,22.0,0.99721,3.36,0.79,11.59,7,180,Weingut Riesling Classic 570,2022-01-21
10.3,0.41,0.41,1.8,0.065,20.8,60.6,0.99584,3.26,0.65,10.91,7,181,Weingut Cabernet Reserve 248,2024-04-12
9.65,0.42,0.57,2.4,0.065,16.8,39.1,0.99719,3.45,0.74,9.78,6,182,Castello Syrah Estate 708,2024-09-02
10.93,0.47,0.51,2.7,0.073,20.7,61.4,0.9961,3.29,0.76,10.91,6,183,Bodega Riesling Premium 459,2022-02-05
9.84,0.44,0.42,2.6,0.082,13.0,32.9,0.99692,3.31,0.77,10.43,6,184,Chateau Chardonnay Estate 415,2023-05-14
10.42,0.38,0.42,2.9,0.064,26.9,58.7,0.99614,3.19,0.73,11.32,7,185,Villa Riesling Grand Cru 378,2024-08-27
9.52,0.56,0.38,1.3,0.069,7.3,14.6,0.99593,3.19,0.83,10.34,5,186,Weingut Syrah Classic 436,2023-11-09
10.35,0.56,0.67,2.5,0.084,26.0,62.7,0.99702,3.18,0.73,11.46,6,187,Villa Riesling Premium 278,2023-09-20
9.88,0.52,0.52,1.7,0.074,23.6,70.3,0.99893,3.3,0.67,10.37,5,188,Villa Cabernet Reserve 739,2023-01-30
9.02,0.57,0.52,2.8,0.092,11.7,34.9,0.99567,3.37,0.78,11.09,6,189,Villa Merlot Special 549,2023-01-15
9.57,0.51,0.49,2.4,0.096,19.5,49.4,0.99634,3.28,0.84,10.7,5,190,Domaine Cabernet Special 496,2023-07-21
10.81,0.43,0.37,2.6,0.073,19.1,55.4,0.99729,3.31,0.89,10.21,5,191,Bodega Syrah Grand Cru 612,2023-08-03
9.66,0.36,0.57,2.4,0.083,4.4,10.9,0.99752,3.31,0.72,11.17,5,192,Chateau Sauvignon Estate 304,2023-04-11
8.14,0.42,0.46,2.8,0.074,15.5,23.5,0.99611,3.19,0.87,10.97,6,193,Villa Cabernet Classic 15,2024-12-29
9.63,0.42,0.49,2.5,0.081,12.2,26.7,0.9959,3.34,0.81,10.96,6,194,Domaine Chardonnay Reserve 998,2022-04-22
10.66,0.47,0.22,1.8,0.081,26.8,50.3,0.99688,3.22,0.68,10.94,6,195,Weingut Chardonnay Special 967,2022-09-16
7.5,0.42,0.67,1.6,0.078,8.4,20.3,0.99629,3.09,0.9,11.25,7,196,Bodega Sauvignon Premium 106,2022-01-26
10.19,0.42,0.36,1.9,0.057,21.4,45.9,0.99884,3.38,0.75,11.44,7,197,Weingut Chardonnay Premium 491,2024-06-21
9.39,0.46,0.57,2.7,0.081,19.2,34.6,0.99798,3.19,0.71,10.6,5,198,Villa Cabernet Reserve 259,2024-09-05
8.25,0.4,0.35,2.1,0.087,14.6,40.0,0.99826,2.97,0.87,10.79,6,199,Chateau Sauvignon Reserve 411,2024-10-04
10.73,0.46,0.21,4.1,0.085,17.5,45.1,0.99614,3.22,0.74,10.4,5,200,Chateau Syrah Special 703,2022-04-20
10.89,0.46,0.35,1.4,0.097,22.0,62.6,0.99848,3.22,0.83,10.65,5,201,Domaine Cabernet Grand Cru 972,2023-09-15
10.47,0.41,0.37,1.3,0.077,10.8,28.5,0.99464,3.1,0.79,10.11,5,202,Chateau Cabernet Reserve 572,2024-05-02
9.88,0.4,0.5,2.3,0.062,22.7,40.0,0.99795,3.27,0.81,9.85,6,203,Weingut Syrah Grand Cru 232,2024-12-06
9.51,0.49,0.44,2.7,0.062,22.9,49.3,0.99817,3.08,0.82,10.14,5,204,Castello Pinot Premium 305,2024-05-28
9.31,0.44,0.48,2.6,0.09,18.8,48.2,1.00031,3.52,0.92,9.78,6,205,Villa Syrah Grand Cru 62,2022-07-23
10.17,0.28,0.42,2.6,0.087,9.6,26.3,0.99802,3.2,0.78,10.68,6,206,Domaine Riesling Estate 271,2022-06-16
9.03,0.43,0.4,1.3,0.07,22.5,48.3,0.99664,3.31,0.85,10.76,6,207,Domaine Cabernet Estate 566,2022-06-03
11.02,0.46,0.32,2.3,0.075,22.7,38.0,0.99783,3.35,0.83,9.98,5,208,Domaine Merlot Premium 462,2024-08-20
10.13,0.4,0.45,1.2,0.078,10.5,23.9,0.99725,3.3,0.73,10.74,6,209,Villa Merlot Estate 296,2023-08-03
11.69,0.53,0.5,2.4,0.062,17.8,45.3,0.99593,3.19,0.77,11.05,6,210,Bodega Sauvignon Premium 73,2023-04-24
10.78,0.5,0.23,3.7,0.068,23.1,43.4,0.99983,3.27,0.71,11.3,6,211,Villa Sauvignon Special 604,2023-02-10
9.87,0.53,0.4,2.7,0.073,22.7,41.5,0.99688,3.36,0.89,10.17,6,212,Castello Merlot Grand Cru 231,2022-11-02
11.51,0.29,0.45,2.8,0.071,20.1,45.5,0.99716,3.31,0.67,11.51,7,213,Villa Sauvignon Estate 74,2022-05-03
10.84,0.47,0.51,2.1,0.072,17.0,36.4,0.99764,3.33,0.68,10.37,6,214,Domaine Sauvignon Classic 610,2023-08-15
9.44,0.34,0.55,0.8,0.074,15.7,35.6,0.99839,3.38,0.73,10.16,6,215,Castello Merlot Premium 706,2023-09-15
10.62,0.38,0.41,3.0,0.072,24.8,55.7,0.99732,3.16,0.79,10.99,6,216,Bodega Pinot Classic 513,2024-10-08
10.21,0.17,0.6,2.5,0.059,13.7,21.2,0.99388,3.21,0.72,11.25,7,217,Castello Merlot Grand Cru 41,2024-06-03
11.29,0.36,0.46,2.8,0.082,26.6,40.2,0.99651,3.27,0.84,11.24,7,218,Bodega Chardonnay Grand Cru 257,2022-02-22
9.21,0.36,0.51,2.6,0.082,10.3,19.6,0.99854,3.2,0.7,11.09,6,219,Chateau Cabernet Special 857,2022-02-12
10.02,0.21,0.47,1.8,0.05,17.2,33.5,0.99676,3.04,0.7,11.37,7,220,Bodega Sauvignon Classic 591,2022-03-24
